state_name;First_name;Gender;Job_Title;Id_client
LA;Jamill;Female;Cost Accountant;129
FL;Angel;Female;Quality Engineer;130
AR;Harley;Female;Associate Professor;131
CT;Alex;Male;VP Product Management;132
DC;Averill;Female;Assistant Professor;133
VA;Christy;Female;Research Associate;134
VA;Chrisse;Male;Technical Writer;135
FL;Edgar;Polygender;Biostatistician IV;136
IN;Swen;Agender;Pharmacist;137
OR;Obadiah;Male;Office Assistant II;138
MA;Reilly;Female;Nurse;139
PA;Baron;Female;Safety Technician III;140
OH;Britt;Male;Accounting Assistant III;141
TX;Raimondo;Male;Administrative Assistant IV;142
CA;Trip;Female;Data Coordinator;143
UT;Teddy;Male;Payment Adjustment Coordinator;144
NJ;Justino;Female;Teacher;145
FL;Con;Male;Operator;146
MA;Claiborne;Female;Dental Hygienist;147
ID;Harold;Female;Sales Associate;148
TX;Raynard;Female;Environmental Specialist;149
DC;Boothe;Male;Marketing Manager;150
KS;Cornie;Male;Engineer II;151
HI;Teador;Female;Assistant Media Planner;152
TN;Nial;Male;Help Desk Technician;153
NJ;Talbot;Male;VP Marketing;154
DC;Karlens;Male;Desktop Support Technician;155
FL;Ross;Male;Senior Financial Analyst;156
TX;Dale;Female;Senior Cost Accountant;157
IL;Jarib;Genderfluid;Food Chemist;158
PA;Adolphe;Female;Database Administrator II;159
IL;Godard;Female;Senior Editor;160
NC;Dietrich;Male;Paralegal;161
DC;Reuven;Female;Media Manager IV;162
MD;Tadd;Female;Electrical Engineer;163
VA;Marius;Female;Safety Technician III;164
AL;Ricoriki;Male;Sales Representative;165
IN;Courtnay;Male;Quality Engineer;166
KS;Melvin;Male;Senior Quality Engineer;167
TX;Nicol;Male;Director of Sales;168
AL;Seward;Female;Editor;169
NY;Tremain;Female;Executive Secretary;170
UT;Fairleigh;Male;Desktop Support Technician;171
DC;Lambert;Agender;Chemical Engineer;172
NY;Jacob;Male;Senior Financial Analyst;173
OK;Pip;Male;Chief Design Engineer;174
OR;Murvyn;Female;Safety Technician IV;175
